annee_de_publication,nature,organisme_preteur_ou_chef_de_file,date_d_emission_ou_date_de_mobilisation,date_de_derniere_echeance,capital_initial,capital_restant_du_au_31_12_2016,type_de_taux_d_interet,index,taux_initial_niveau_de_taux,taux_initial_taux_actuariel,profil_d_amortissement,possibilite_de_remboursement,categorie_d_emprunt
2010,1641 - Emprunts établissements crédit,DEXIA CREDIT LOCAL,2003-12-22,2013-12-22,35000000.0,35000000.0,Indexé,TAG06M,0.15810000000000002,1.9644,Emprunt in fine,oui,A-1
2012,1641 - Emprunts établissements crédit,SOCIETE GENERALE,2005-12-28,2019-12-28,25000000.0,25000000.0,Indexé,TAG01M,0.0,1.0218,Emprunt in fine,oui,A-1
2012,1641 - Emprunts établissements crédit,BNP Paribas,2009-12-30,2021-12-29,25000000.0,25000000.0,Indexé,EURIBOR03M,0.421,0.7061000000000001,Emprunt in fine,oui,A-1
2008,16441 - Emprunts option tirage tréso,Caisse Nat. C.E.,2004-12-17,2010-12-17,75000000.0,75000000.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2009,16311 - Emissions obligataires,HSBC,2005-11-09,2018-11-09,50651230.1,50651230.1,Indexé,EURIBOR03M,0.021,1.3865,Emprunt in fine,oui,A-1
2009,16311 - Emissions obligataires,Calyon-Dexia,2006-11-28,2014-11-28,100000000.0,100000000.0,Fixe,TAUX FIXE,3.875,3.8752,Emprunt in fine,oui,A-1
2017,16311 - Emissions obligataires,89 - SocGen (arrangeur),2013-10-01,2026-10-01,75000000.0,75000000.0,Fixe,TAUX FIXE,3.049,3.0492,Emprunt in fine,non,A-1
2013,16311 - Emissions obligataires,Natixis,2013-10-17,2028-10-17,50000000.0,50000000.0,Fixe,TAUX FIXE,3.15,3.1501,Emprunt in fine,oui,A-1
2016,16311 - Emissions obligataires,Goldman Sachs,2016-07-05,2030-05-25,50000000.0,50000000.0,Fixe,TAUX FIXE,1.214,1.2147000000000001,Emprunt in fine,non,A-1
2018,16311 - Emissions obligataires,SG,None,2047-08-23,25000000.0,25000000.0,None,TAUX FIXE,1.72,1.72,Emprunt in fine,non,A-1
2018,16311 - Emissions obligataires,Goldman Sachs (3),None,2030-05-25,50000000.0,50000000.0,None,TAUX FIXE,0.9510000000000001,0.9510000000000001,Emprunt in fine,non,A-1
2008,16311 - Emissions obligataires,Crédit Suisse,2007-12-14,2017-01-14,24405125.08,24405125.08,Indexé,EURIBOR04M,0.021,1.1414,Emprunt in fine,oui,A-1
2016,1641 - Emprunts établissements crédit,Helaba,2015-03-13,2040-03-13,50000000.0,50000000.0,Fixe,TAUX FIXE,1.5430000000000001,1.5432000000000001,Emprunt in fine,oui,A-1
2012,16311 - Emissions obligataires,Crédit Suisse,2009-12-10,2020-01-10,49715000.0,49715000.0,Indexé,EURIBOR03M,0.385,0.7033,Emprunt in fine,oui,A-1
2008,16441 - Emprunts option tirage tréso,SOCIETE GENERALE,2005-12-30,2013-12-30,50000000.0,50000000.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2018,16311 - Emissions obligataires,HSBC-Natixis,None,2020-12-04,160000000.0,160000000.0,None,TAUX FIXE,4.5,4.5,Emprunt in fine,non,A-1
2018,16311 - Emissions obligataires,HSBC,None,2030-09-16,50000000.0,50000000.0,None,TAUX FIXE,1.724,1.724,Emprunt in fine,non,A-1
